Team,Year,Wins,ERA,Runs,Salary
ARI,2015,79,4.04,720,76781801.00
ATL,2015,67,4.41,573,110981246.00
BAL,2015,81,4.04,713,117784476.00
BOS,2015,78,4.31,748,214981478.00
CHC,2015,97,3.36,689,132993810.00
CHW,2015,76,3.98,622,118875487.00
CIN,2015,64,4.33,640,112676976.00
CLE,2015,81,3.67,669,77404413.00
COL,2015,68,5.04,737,106860781.00
DET,2015,74,4.64,689,162160921.00
HOU,2015,86,3.57,729,81450835.00
KCR,2015,95,3.73,724,126560340.00
LAA,2015,85,3.94,661,151348162.00
LAD,2015,92,3.44,667,301735080.00
MIA,2015,71,4.02,613,63590525.00
MIL,2015,68,4.28,655,94010873.00
MIN,2015,83,4.07,696,106431818.00
NYM,2015,90,3.43,683,115698927.00
NYY,2015,87,4.04,764,222528373.00
OAK,2015,68,4.14,694,80376830.00
PHI,2015,63,4.69,626,141722639.00
PIT,2015,98,3.21,697,99435606.00
SDP,2015,74,4.09,650,127540272.00
SEA,2015,76,4.16,656,126045473.00
SFG,2015,84,3.72,696,186663630.00
STL,2015,100,2.94,647,132178951.00
TBR,2015,80,3.74,644,73582652.00
TEX,2015,88,4.24,751,152445607.00
TOR,2015,93,3.8,891,138309664.00
WSN,2015,83,3.62,703,165655095.00
ARI,2014,64,3.4,615,108577046.00
ATL,2014,79,3.38,573,116008564.00
BAL,2014,96,3.43,705,114362943.00
BOS,2014,71,4.01,634,173466258.00
CHC,2014,73,3.91,614,92664741.00
CHW,2014,73,4.29,660,95803236.00
CIN,2014,76,3.59,595,113351318.00
CLE,2014,85,3.56,669,85969908.00
COL,2014,66,4.84,755,96659578.00
DET,2014,90,4.01,757,171996220.00
HOU,2014,70,4.11,629,51679490.00
KCR,2014,89,3.51,651,100758900.00
LAA,2014,98,3.58,773,165403251.00
LAD,2014,94,4.26,718,246367142.00
MIA,2014,77,3.78,645,56671396.00
MIL,2014,82,3.67,650,110577046.00
MIN,2014,70,4.57,715,87494478.00
NYM,2014,79,3.49,629,94478037.00
NYY,2014,84,3.75,633,215916731.00
OAK,2014,88,3.22,729,93518412.00
PHI,2014,73,3.79,619,175061605.00
PIT,2014,88,3.47,682,76974115.00
SDP,2014,77,3.27,535,88901967.00
SEA,2014,87,3.17,634,107034174.00
SFG,2014,88,3.5,665,171586782.00
STL,2014,90,3.5,619,121567356.00
TBR,2014,77,3.56,612,82606546.00
TEX,2014,67,4.49,637,139630583.00
TOR,2014,83,4,723,145851129.00
WSN,2014,96,3.03,686,149470982.00
ARI,2013,81,3.92,685,90586723.00
ATL,2013,96,3.18,688,94947950.00
BAL,2013,85,4.2,745,103906638.00
BOS,2013,97,3.79,853,174984264.00
CHC,2013,66,4,602,106796299.00
CHW,2013,63,3.98,598,111777595.00
CIN,2013,90,3.38,698,105304640.00
CLE,2013,92,3.82,745,93472497.00
COL,2013,74,4.44,706,79317143.00
DET,2013,93,3.61,796,155448539.00
HOU,2013,51,4.79,610,29217913.00
KCR,2013,86,3.45,648,84398434.00
LAA,2013,78,4.23,733,141435103.00
LAD,2013,92,3.25,649,239894375.00
MIA,2013,63,3.71,513,36028542.00
MIL,2013,74,3.84,640,88221045.00
MIN,2013,66,4.55,614,81458898.00
NYM,2013,74,3.77,619,101300814.00
NYY,2013,85,3.94,650,242739040.00
OAK,2013,96,3.56,767,66932293.00
PHI,2013,73,4.32,610,163536898.00
PIT,2013,94,3.26,634,71480984.00
SDP,2013,76,3.98,618,73286341.00
SEA,2013,71,4.31,624,83220022.00
SFG,2013,76,4,629,140280186.00
STL,2013,97,3.41,783,120516627.00
TBR,2013,92,3.74,700,74572903.00
TEX,2013,91,3.62,730,141585546.00
TOR,2013,74,4.25,712,131776168.00
WSN,2013,86,3.59,656,116883274.00
ARI,2012,81,3.93,734,83120205.00
ATL,2012,94,3.42,700,98628056.00
BAL,2012,93,3.9,712,89173368.00
BOS,2012,69,4.7,734,177329051.00
CHC,2012,61,4.51,613,116341526.00
CHW,2012,85,4.02,748,109099803.00
CIN,2012,97,3.34,669,89901498.00
CLE,2012,68,4.78,667,77634289.00
COL,2012,64,5.22,758,88210881.00
DET,2012,88,3.75,726,145654784.00
HOU,2012,55,4.56,583,59447239.00
KCR,2012,72,4.3,676,70344235.00
LAA,2012,89,4.02,767,157584925.00
LAD,2012,86,3.34,637,121875317.00
MIA,2012,69,4.09,609,98392974.00
MIL,2012,83,4.22,776,112105300.00
MIN,2012,66,4.77,701,109130327.00
NYM,2012,74,4.09,650,105869476.00
NYY,2012,95,3.85,804,228987356.00
OAK,2012,94,3.48,713,63123573.00
PHI,2012,81,3.83,684,179900523.00
PIT,2012,79,3.86,651,61803269.00
SDP,2012,76,4.01,651,63839413.00
SEA,2012,75,3.76,619,88939430.00
SFG,2012,94,3.68,718,137523205.00
STL,2012,88,3.71,765,122361369.00
TBR,2012,90,3.19,697,70498030.00
TEX,2012,93,3.99,808,142126346.00
TOR,2012,73,4.64,716,99093922.00
WSN,2012,98,3.33,731,98456813.00
ARI,2011,94,3.8,731,71892471.00
ATL,2011,89,3.48,641,100352830.00
BAL,2011,69,4.89,708,94663071.00
BOS,2011,90,4.2,875,180688261.00
CHC,2011,71,4.33,654,142127698.00
CHW,2011,79,4.1,654,130753749.00
CIN,2011,79,4.16,735,82130546.00
CLE,2011,80,4.23,704,56351973.00
COL,2011,73,4.43,735,84662170.00
DET,2011,95,4.04,787,112473915.00
HOU,2011,56,4.51,615,89656503.00
KCR,2011,71,4.44,730,40693273.00
LAA,2011,86,3.57,667,148380267.00
LAD,2011,82,3.54,644,118668615.00
MIA,2011,72,3.95,625,65382393.00
MIL,2011,96,3.63,721,92577802.00
MIN,2011,63,4.58,619,115979594.00
NYM,2011,77,4.19,718,142256841.00
NYY,2011,97,3.73,867,215434678.00
OAK,2011,74,3.71,645,78335548.00
PHI,2011,102,3.02,713,170218182.00
PIT,2011,72,4.04,610,57592727.00
SDP,2011,71,3.42,593,52782510.00
SEA,2011,67,3.9,556,102894148.00
SFG,2011,86,3.2,570,127098250.00
STL,2011,90,3.74,762,118668615.00
TBR,2011,91,3.58,707,49907532.00
TEX,2011,96,3.79,855,104466721.00
TOR,2011,81,4.32,743,75241604.00
WSN,2011,80,3.58,624,78024723.00
ARI,2010,65,4.87,713,60718167.00
ATL,2010,91,3.59,738,84423667.00
BAL,2010,66,4.59,613,81612500.00
BOS,2010,89,4.19,818,162747333.00
CHC,2010,75,4.18,685,146859000.00
CHW,2010,88,4.09,752,108273197.00
CIN,2010,91,4.01,709,72386544.00
CLE,2010,69,4.3,646,61203967.00
COL,2010,83,4.14,770,84227000.00
DET,2010,81,4.3,751,122864929.00
HOU,2010,76,4.09,611,92355500.00
KCR,2010,67,4.91,676,72267710.00
LAA,2010,80,4.04,681,105013667.00
LAD,2010,80,4.01,667,93540753.00
MIA,2010,80,4.08,719,55641500.00
MIL,2010,77,4.58,750,81108279.00
MIN,2010,94,3.95,781,97559167.00
NYM,2010,79,3.7,656,132701445.00
NYY,2010,95,4.06,859,206333389.00
OAK,2010,81,3.56,663,51654900.00
PHI,2010,97,3.67,772,141927381.00
PIT,2010,57,5,587,34943000.00
SDP,2010,90,3.39,665,37799300.00
SEA,2010,61,3.93,513,98376667.00
SFG,2010,92,3.36,697,97828833.00
STL,2010,86,3.57,736,95540753.00
TBR,2010,96,3.78,802,71923471.00
TEX,2010,90,3.93,787,55250545.00
TOR,2010,85,4.22,755,62689357.00
WSN,2010,69,4.13,655,61425500.00
ARI,2009,70,4.42,720,73571667.00
ATL,2009,86,3.57,735,96726167.00
BAL,2009,64,5.15,741,67101667.00
BOS,2009,95,4.35,872,122696000.00
CHC,2009,83,3.84,707,135050000.00
CHW,2009,79,4.14,724,96068500.00
CIN,2009,78,4.18,673,70968500.00
CLE,2009,65,5.06,773,81625567.00
COL,2009,92,4.22,804,75201000.00
DET,2009,86,4.29,743,115085145.00
HOU,2009,74,4.54,643,102996415.00
KCR,2009,65,4.83,686,70908333.00
LAA,2009,97,4.45,883,113709000.00
LAD,2009,95,3.41,780,100458101.00
MIA,2009,87,4.29,772,36814000.00
MIL,2009,80,4.83,785,80257502.00
MIN,2009,87,4.5,817,65299267.00
NYM,2009,70,4.45,671,135773988.00
NYY,2009,103,4.26,915,201449289.00
OAK,2009,75,4.26,759,62310000.00
PHI,2009,93,4.16,820,113004048.00
PIT,2009,62,4.59,636,48743000.00
SDP,2009,75,4.37,638,42796700.00
SEA,2009,85,3.87,640,98904167.00
SFG,2009,88,3.55,657,82161450.00
STL,2009,91,3.66,730,88528411.00
TBR,2009,84,4.33,803,63313035.00
TEX,2009,87,4.38,784,68646023.00
TOR,2009,75,4.47,798,80993657.00
WSN,2009,59,5,710,59328000.00